candidate,paths_to_victory
Trump,"[('Pennsylvania', 'Georgia'), ('Arizona', 'Nevada', 'Pennsylvania'), ('Arizona', 'Wisconsin', 'Michigan'), ('Arizona', 'Wisconsin', 'Pennsylvania'), ('Arizona', 'Wisconsin', 'Georgia'), ('Arizona', 'Michigan', 'Pennsylvania'), ('Arizona', 'Michigan', 'Georgia'), ('Arizona', 'Pennsylvania', 'Georgia'), ('Nevada', 'Wisconsin', 'Pennsylvania'), ('Nevada', 'Michigan', 'Pennsylvania'), ('Nevada', 'Michigan', 'Georgia'), ('Nevada', 'Pennsylvania', 'Georgia'), ('Wisconsin', 'Michigan', 'Pennsylvania'), ('Wisconsin', 'Michigan', 'Georgia'), ('Wisconsin', 'Pennsylvania', 'Georgia'), ('Michigan', 'Pennsylvania', 'Georgia'), ('Arizona', 'Nevada', 'Wisconsin', 'Michigan'), ('Arizona', 'Nevada', 'Wisconsin', 'Pennsylvania'), ('Arizona', 'Nevada', 'Wisconsin', 'Georgia'), ('Arizona', 'Nevada', 'Michigan', 'Pennsylvania'), ('Arizona', 'Nevada', 'Michigan', 'Georgia'), ('Arizona', 'Nevada', 'Pennsylvania', 'Georgia'), ('Arizona', 'Wisconsin', 'Michigan', 'Pennsylvania'), ('Arizona', 'Wisconsin', 'Michigan', 'Georgia'), ('Arizona', 'Wisconsin', 'Pennsylvania', 'Georgia'), ('Arizona', 'Michigan', 'Pennsylvania', 'Georgia'), ('Nevada', 'Wisconsin', 'Michigan', 'Pennsylvania'), ('Nevada', 'Wisconsin', 'Michigan', 'Georgia'), ('Nevada', 'Wisconsin', 'Pennsylvania', 'Georgia'), ('Nevada', 'Michigan', 'Pennsylvania', 'Georgia'), ('Wisconsin', 'Michigan', 'Pennsylvania', 'Georgia'), ('Arizona', 'Nevada', 'Wisconsin', 'Michigan', 'Pennsylvania'), ('Arizona', 'Nevada', 'Wisconsin', 'Michigan', 'Georgia'), ('Arizona', 'Nevada', 'Wisconsin', 'Pennsylvania', 'Georgia'), ('Arizona', 'Nevada', 'Michigan', 'Pennsylvania', 'Georgia'), ('Arizona', 'Wisconsin', 'Michigan', 'Pennsylvania', 'Georgia'), ('Nevada', 'Wisconsin', 'Michigan', 'Pennsylvania', 'Georgia'), ('Arizona', 'Nevada', 'Wisconsin', 'Michigan', 'Pennsylvania', 'Georgia')]"
Biden,"[('Arizona', 'Michigan', 'Pennsylvania'), ('Arizona', 'Pennsylvania', 'Georgia'), ('Wisconsin', 'Michigan', 'Pennsylvania'), ('Wisconsin', 'Pennsylvania', 'Georgia'), ('Michigan', 'Pennsylvania', 'Georgia'), ('Arizona', 'Nevada', 'Wisconsin', 'Pennsylvania'), ('Arizona', 'Nevada', 'Michigan', 'Pennsylvania'), ('Arizona', 'Nevada', 'Michigan', 'Georgia'), ('Arizona', 'Nevada', 'Pennsylvania', 'Georgia'), ('Arizona', 'Wisconsin', 'Michigan', 'Pennsylvania'), ('Arizona', 'Wisconsin', 'Michigan', 'Georgia'), ('Arizona', 'Wisconsin', 'Pennsylvania', 'Georgia'), ('Arizona', 'Michigan', 'Pennsylvania', 'Georgia'), ('Nevada', 'Wisconsin', 'Michigan', 'Pennsylvania'), ('Nevada', 'Wisconsin', 'Michigan', 'Georgia'), ('Nevada', 'Wisconsin', 'Pennsylvania', 'Georgia'), ('Nevada', 'Michigan', 'Pennsylvania', 'Georgia'), ('Wisconsin', 'Michigan', 'Pennsylvania', 'Georgia'), ('Arizona', 'Nevada', 'Wisconsin', 'Michigan', 'Pennsylvania'), ('Arizona', 'Nevada', 'Wisconsin', 'Michigan', 'Georgia'), ('Arizona', 'Nevada', 'Wisconsin', 'Pennsylvania', 'Georgia'), ('Arizona', 'Nevada', 'Michigan', 'Pennsylvania', 'Georgia'), ('Arizona', 'Wisconsin', 'Michigan', 'Pennsylvania', 'Georgia'), ('Nevada', 'Wisconsin', 'Michigan', 'Pennsylvania', 'Georgia'), ('Arizona', 'Nevada', 'Wisconsin', 'Michigan', 'Pennsylvania', 'Georgia')]"
